"ini_monit","mac_local","mac_destino","rssi","lqi","latencia","desconexion","tiempo"
2019-02-25 11:47:22,"0010","0006",-94,108,0.101034641265869,0,1551095242
2019-02-25 11:47:22,"0010","0002",-101,108,0.101034641265869,0,1551095242
2019-02-25 11:47:29,"0010","0004",-57,108,0.0970401763916016,0,1551095249
2019-02-25 11:47:29,"0010","0005",-98,108,0.0970401763916016,0,1551095249
2019-02-25 11:47:29,"0010","0006",-92,108,0.0970401763916016,0,1551095249
2019-02-25 11:47:29,"0010","0002",-101,108,0.0970401763916016,0,1551095249
2019-02-25 11:47:31,"0010","0004",-57,108,0.10004448890686,0,1551095251
2019-02-25 11:47:31,"0010","0005",-98,108,0.10004448890686,0,1551095251
2019-02-25 11:47:31,"0010","0006",-92,108,0.10004448890686,0,1551095251
2019-02-25 11:47:31,"0010","0002",-101,108,0.10004448890686,0,1551095251
2019-02-25 11:47:36,"0010","0004",-57,108,0.0990810394287109,0,1551095256
2019-02-25 11:47:36,"0010","0005",-98,108,0.0990810394287109,0,1551095256
2019-02-25 11:47:36,"0010","0006",-92,108,0.0990810394287109,0,1551095256
2019-02-25 11:47:36,"0010","0002",-101,108,0.0990810394287109,0,1551095256
2019-02-25 11:47:37,"0010","0004",-57,108,0.0950393676757812,0,1551095257
2019-02-25 11:47:37,"0010","0005",-98,108,0.0950393676757812,0,1551095257
2019-02-25 11:47:37,"0010","0006",-92,108,0.0950393676757812,0,1551095257
2019-02-25 11:47:37,"0010","0002",-101,108,0.0950393676757812,0,1551095257
2019-02-25 11:47:41,"0010","0004",-57,108,0.0979733467102051,0,1551095261
2019-02-25 11:47:41,"0010","0005",-98,108,0.0979733467102051,0,1551095261
2019-02-25 11:47:41,"0010","0006",-92,108,0.0979733467102051,0,1551095261
2019-02-25 11:47:41,"0010","0002",-101,108,0.0979733467102051,0,1551095261
2019-02-25 11:47:47,"0010","0004",-56,108,0.110043048858643,0,1551095267
2019-02-25 11:47:47,"0010","0005",-99,101,0.110043048858643,0,1551095267
2019-02-25 11:47:47,"0010","0006",-93,108,0.110043048858643,0,1551095267
2019-02-25 11:47:47,"0010","0002",-101,108,0.110043048858643,0,1551095267
2019-02-25 11:47:48,"0010","0004",-56,108,0.0980298519134521,0,1551095268
2019-02-25 11:47:48,"0010","0005",-99,101,0.0980298519134521,0,1551095268
2019-02-25 11:47:48,"0010","0006",-93,108,0.0980298519134521,0,1551095268
2019-02-25 11:47:48,"0010","0002",-101,108,0.0980298519134521,0,1551095268
2019-02-25 11:47:55,"0010","0004",-57,108,0.101037502288818,0,1551095275
2019-02-25 11:47:55,"0010","0005",-97,108,0.101037502288818,0,1551095275
2019-02-25 11:47:55,"0010","0006",-94,108,0.101037502288818,0,1551095275
2019-02-25 11:47:55,"0010","0002",-98,108,0.101037502288818,0,1551095275
2019-02-25 11:47:56,"0010","0004",-57,108,0.101044178009033,0,1551095276
2019-02-25 11:47:56,"0010","0005",-97,108,0.101044178009033,0,1551095276
2019-02-25 11:47:56,"0010","0006",-94,108,0.101044178009033,0,1551095276
2019-02-25 11:47:56,"0010","0002",-98,108,0.101044178009033,0,1551095276
2019-02-25 11:48:03,"0010","0004",-57,108,0.0970308780670166,0,1551095283
2019-02-25 11:48:03,"0010","0005",-97,108,0.0970308780670166,0,1551095283
2019-02-25 11:48:03,"0010","0006",-94,108,0.0970308780670166,0,1551095283
2019-02-25 11:48:03,"0010","0002",-98,108,0.0970308780670166,0,1551095283
2019-02-25 11:48:04,"0010","0004",-57,108,0.102059602737427,0,1551095284
2019-02-25 11:48:04,"0010","0005",-97,108,0.102059602737427,0,1551095284
2019-02-25 11:48:04,"0010","0006",-94,108,0.102059602737427,0,1551095284
2019-02-25 11:48:04,"0010","0002",-98,108,0.102059602737427,0,1551095284
2019-02-25 11:48:10,"0010","0004",-58,106,0.0980439186096191,0,1551095290
2019-02-25 11:48:10,"0010","0005",-97,106,0.0980439186096191,0,1551095290
2019-02-25 11:48:10,"0010","0006",-93,106,0.0980439186096191,0,1551095290
2019-02-25 11:48:10,"0010","0002",-100,106,0.0980439186096191,0,1551095290
2019-02-25 11:48:11,"0010","0004",-58,106,0.0930399894714355,0,1551095291
2019-02-25 11:48:11,"0010","0005",-97,106,0.0930399894714355,0,1551095291
2019-02-25 11:48:11,"0010","0006",-93,106,0.0930399894714355,0,1551095291
2019-02-25 11:48:11,"0010","0002",-100,106,0.0930399894714355,0,1551095291
2019-02-25 11:48:18,"0010","0004",-58,106,0.0970478057861328,0,1551095298
2019-02-25 11:48:18,"0010","0005",-97,106,0.0970478057861328,0,1551095298
2019-02-25 11:48:18,"0010","0006",-93,106,0.0970478057861328,0,1551095298
2019-02-25 11:48:18,"0010","0002",-100,106,0.0970478057861328,0,1551095298
2019-02-25 11:48:19,"0010","0004",-58,106,0.0999917984008789,0,1551095299
2019-02-25 11:48:19,"0010","0005",-97,106,0.0999917984008789,0,1551095299
2019-02-25 11:48:19,"0010","0006",-93,106,0.0999917984008789,0,1551095299
2019-02-25 11:48:19,"0010","0002",-100,106,0.0999917984008789,0,1551095299
